APP_ID,APP_NAME,CATEGORY,PRICE,CONTENT_RATING,DOWNLOADS,SIZE(M),CURRENT_VERSION,MIN_REQUIRED_ANDROID,LASTUPDATED,TOTAL_REVIEWS,AVERAGE_RATING,5RATING,4RATING,3RATING,2RATING,1RATING,DEVELOPER_SITE,DEVELOPER_CONTACT,DEVELOPER_NAME,Column1
air.com.visiware.nfl.xtra,NFL TNF Xtra,Sports Games,0,Everyone,"50,000 - 100,000",14,1.2.0,2.2,10/18/2012,284,3.28,133,22,20,9,100,http://www.nfl.com/mobile/app,f9899281e567a1cbc755e946ea38e8427fd7cb13,8fa4eb4327b7fefc735f7a5f1af6e40657ec7189,
air.com.visiware.vzw.nfl.xtra,NFL Draft Xtra,Sports Games,0,Everyone,"10,000 - 50,000",1.2,2,2.2,4/24/2013,46,2.83,18,2,2,2,22,http://www.nfl.com/mobile/app,f9899281e567a1cbc755e946ea38e8427fd7cb13,8fa4eb4327b7fefc735f7a5f1af6e40657ec7189,
air.com.zubawing.BaseballBanterFree,Baseball Banter Free,Sports,0,Medium Maturity,100 - 500,2.3,1.1.0,2.2,5/26/2011,4,4,3,0,0,0,1,http://www.zubawing.com/,71f431fcc03b9e9d144186c110d312efe89a8c32,b149b7cdf96533f1005b85020f0a8d3d20d4514b,
air.com.zubawing.FastWordLite,FastWord Lite,Brain and Puzzle,0,Everyone,"10,000 - 50,000",5.9,1.0.4,2.2,4/14/2013,61,4.16,39,9,4,2,7,http://www.zubawing.com/,71f431fcc03b9e9d144186c110d312efe89a8c32,b149b7cdf96533f1005b85020f0a8d3d20d4514b,
air.com.zubawing.PokeChampionLite,Poke Champion Lite,Casual,0,Everyone,"1,000 - 5,000",0.45,1.1.0,2.2,2/26/2011,9,4,6,1,0,0,2,http://www.zubawing.com/,71f431fcc03b9e9d144186c110d312efe89a8c32,b149b7cdf96533f1005b85020f0a8d3d20d4514b,
air.com.zubawing.ShakeChampion,Shake Champion Lite,Casual,0,Everyone,"5,000 - 10,000",0.6,2.0.0,2.2,3/16/2011,14,3.93,9,1,0,2,2,http://www.zubawing.com/,71f431fcc03b9e9d144186c110d312efe89a8c32,b149b7cdf96533f1005b85020f0a8d3d20d4514b,
air.com.zynga.sava.rubbertacos,Rubber Tacos,Arcade and Action,0,Everyone,"10,000 - 50,000",25,1.2.0,3,5/6/2013,309,3.6,141,42,44,26,56,http://www.zynga.com,f14e7673637272941c274749e1ee8a3c53dbced9,849dd23cf007f2c00c6cdbb68c8f209d3d86a940,http://m.zynga.com/about/privacy-center/privacy-policy
air.compass3D,compass 3D - augmented reality,Tools,0,Everyone,"1,000 - 5,000",9.3,1.0.3,2.2,6/29/2013,12,3.58,5,3,0,2,2,http://work.shpe.ro,86e62b454ecd7499526362208fcd152cf4ccce6c,438fb2a0eb8f9b33d6d020cb02bf805869496bfa,
air.freeWiFi,get FREE Wi-Fi,Tools,0,Low Maturity,100 - 500,9.2,1.1,2.2,9/8/2013,6,4.83,5,1,0,0,0,http://shpe.ro,86e62b454ecd7499526362208fcd152cf4ccce6c,438fb2a0eb8f9b33d6d020cb02bf805869496bfa,http://yom.shpe.ro/PrivacyPolicy.php
air.newsMAARSglobal,MAARS News & Entertainment,News & Magazines,0,Low Maturity,100 - 500,0.99,1.0.006,2.2,11/22/2011,4,4.5,3,0,1,0,0,http://news.maars.net,97314952729571080a4ff130e377fcbac25e1d30,8616fa5b38916053365384f5124db13b9011180f,
